,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester City,28.0,5.0,93.0,51.0,5.0,738.0,250.0,21.0,10.0,7.0,1.0,73.0,20.0,6.0,85.0,17.0,29.0,2.0,111.0,631.0,694.0,6.0,930.0,525.0,2.0,3.0,2.0,20863.0,321.0,1734.0,2937.0,843.0,269.0,28626.0,65.0,6.0,480.0,1.0,39.0,21.0
Manchester United,28.0,5.0,89.0,51.0,1.0,646.0,243.0,17.0,16.0,9.0,2.0,74.0,15.0,2.0,89.0,20.0,33.0,6.0,138.0,574.0,803.0,6.0,1165.0,749.0,2.0,3.0,2.0,20193.0,103.0,2195.0,2765.0,1018.0,279.0,28118.0,64.0,3.0,521.0,1.0,37.0,26.0
Arsenal,21.0,10.0,74.0,64.0,4.0,637.0,236.0,15.0,9.0,2.0,2.0,64.0,10.0,9.0,88.0,13.0,49.0,6.0,93.0,605.0,751.0,25.0,766.0,411.0,5.0,4.0,3.0,20613.0,294.0,1678.0,2754.0,896.0,262.0,28348.0,74.0,3.0,587.0,1.0,52.0,27.0
Tottenham Hotspur,20.0,9.0,66.0,43.0,3.0,701.0,230.0,12.0,5.0,4.0,1.0,52.0,14.0,5.0,93.0,14.0,41.0,0.0,122.0,716.0,733.0,12.0,1045.0,561.0,1.0,1.0,1.0,19564.0,164.0,2323.0,2944.0,846.0,279.0,27761.0,62.0,6.0,539.0,0.0,28.0,12.0
Newcastle United,19.0,11.0,56.0,67.0,2.0,489.0,154.0,19.0,6.0,2.0,3.0,44.0,12.0,4.0,97.0,15.0,51.0,1.0,143.0,621.0,744.0,8.0,987.0,475.0,0.0,9.0,7.0,14638.0,97.0,2130.0,2384.0,730.0,171.0,22210.0,27.0,12.0,592.0,2.0,59.0,23.0
Chelsea,18.0,10.0,65.0,74.0,4.0,671.0,224.0,20.0,12.0,4.0,0.0,60.0,5.0,2.0,70.0,10.0,46.0,1.0,111.0,637.0,698.0,5.0,881.0,477.0,1.0,6.0,4.0,18766.0,158.0,2021.0,2886.0,972.0,253.0,26276.0,37.0,10.0,571.0,0.0,70.0,17.0
Everton,15.0,12.0,50.0,60.0,2.0,520.0,164.0,12.0,9.0,5.0,1.0,42.0,8.0,1.0,116.0,12.0,40.0,2.0,145.0,617.0,624.0,6.0,1130.0,555.0,3.0,4.0,1.0,15063.0,67.0,2048.0,2108.0,877.0,180.0,22706.0,43.0,2.0,487.0,2.0,57.0,25.0
Fulham,14.0,14.0,48.0,54.0,0.0,541.0,195.0,24.0,7.0,3.0,2.0,42.0,6.0,3.0,85.0,11.0,51.0,0.0,141.0,644.0,669.0,3.0,1005.0,479.0,2.0,3.0,3.0,17669.0,64.0,2004.0,3004.0,649.0,187.0,24891.0,38.0,4.0,469.0,0.0,69.0,26.0
Liverpool,14.0,14.0,47.0,53.0,5.0,667.0,207.0,33.0,8.0,1.0,2.0,40.0,7.0,3.0,128.0,12.0,40.0,0.0,108.0,505.0,728.0,5.0,720.0,365.0,3.0,5.0,4.0,18797.0,105.0,2260.0,2991.0,1103.0,309.0,26450.0,66.0,2.0,440.0,1.0,22.0,19.0
West Bromwich Albion,13.0,17.0,45.0,48.0,1.0,544.0,167.0,13.0,9.0,1.0,2.0,35.0,10.0,3.0,128.0,10.0,52.0,4.0,167.0,556.0,683.0,6.0,960.0,521.0,2.0,9.0,7.0,14691.0,69.0,1776.0,2094.0,783.0,212.0,22205.0,34.0,7.0,419.0,2.0,60.0,19.0
Norwich City,12.0,15.0,52.0,58.0,3.0,514.0,164.0,7.0,15.0,2.0,1.0,47.0,5.0,4.0,74.0,3.0,66.0,0.0,157.0,468.0,692.0,6.0,1451.0,767.0,1.0,7.0,5.0,15165.0,51.0,2430.0,2420.0,863.0,165.0,22830.0,30.0,9.0,379.0,2.0,56.0,20.0
Swansea City,12.0,15.0,44.0,40.0,2.0,472.0,145.0,14.0,7.0,5.0,1.0,36.0,8.0,1.0,67.0,14.0,51.0,0.0,146.0,579.0,709.0,3.0,1048.0,439.0,2.0,3.0,1.0,20795.0,105.0,2121.0,3726.0,721.0,201.0,28300.0,36.0,3.0,518.0,2.0,69.0,22.0
Stoke City,11.0,15.0,36.0,60.0,2.0,376.0,94.0,7.0,14.0,4.0,0.0,33.0,3.0,1.0,62.0,9.0,53.0,15.0,157.0,461.0,655.0,4.0,1910.0,959.0,3.0,7.0,7.0,10836.0,23.0,2199.0,1699.0,826.0,166.0,18938.0,33.0,4.0,460.0,0.0,68.0,23.0
Sunderland,11.0,15.0,45.0,60.0,4.0,458.0,141.0,11.0,8.0,1.0,5.0,32.0,13.0,3.0,76.0,12.0,46.0,0.0,194.0,652.0,824.0,7.0,1158.0,600.0,2.0,5.0,3.0,13913.0,45.0,2135.0,2159.0,864.0,181.0,21770.0,39.0,8.0,423.0,1.0,65.0,26.0
Wigan Athletic,11.0,17.0,42.0,67.0,3.0,519.0,162.0,13.0,6.0,5.0,1.0,29.0,13.0,2.0,71.0,8.0,62.0,0.0,129.0,578.0,729.0,7.0,925.0,413.0,1.0,8.0,4.0,15731.0,55.0,2166.0,2322.0,744.0,212.0,22957.0,41.0,3.0,414.0,4.0,42.0,23.0
Bolton Wanderers,10.0,22.0,46.0,50.0,5.0,495.0,163.0,8.0,7.0,5.0,0.0,40.0,6.0,0.0,55.0,3.0,77.0,0.0,169.0,694.0,732.0,9.0,1255.0,648.0,1.0,3.0,2.0,13580.0,101.0,2123.0,1955.0,769.0,210.0,21694.0,25.0,8.0,442.0,1.0,58.0,16.0
Queens Park Rangers,10.0,21.0,43.0,54.0,9.0,539.0,150.0,15.0,10.0,2.0,3.0,36.0,7.0,0.0,83.0,7.0,66.0,12.0,187.0,547.0,764.0,1.0,1412.0,800.0,2.0,3.0,3.0,13394.0,42.0,2160.0,2005.0,796.0,195.0,21306.0,23.0,8.0,429.0,0.0,26.0,22.0
Blackburn Rovers,8.0,23.0,48.0,66.0,5.0,453.0,143.0,10.0,13.0,4.0,2.0,41.0,7.0,2.0,58.0,3.0,78.0,0.0,149.0,716.0,690.0,6.0,1328.0,575.0,4.0,3.0,2.0,12424.0,59.0,2067.0,1934.0,610.0,166.0,20036.0,37.0,6.0,370.0,1.0,53.0,10.0
Aston Villa,7.0,14.0,37.0,70.0,2.0,438.0,138.0,9.0,3.0,3.0,0.0,29.0,8.0,1.0,85.0,9.0,53.0,0.0,176.0,740.0,774.0,4.0,1301.0,682.0,2.0,7.0,6.0,13158.0,62.0,1980.0,2013.0,834.0,218.0,21017.0,39.0,8.0,300.0,0.0,41.0,15.0
Wolverhampton Wanderers,5.0,23.0,40.0,64.0,4.0,473.0,152.0,10.0,9.0,3.0,0.0,37.0,3.0,1.0,82.0,4.0,82.0,9.0,159.0,598.0,619.0,4.0,1178.0,495.0,2.0,7.0,5.0,14860.0,30.0,2249.0,2538.0,999.0,205.0,22585.0,29.0,6.0,425.0,2.0,81.0,22.0
